WeatherTime,t-000h,t-006h,t-012h,t-018h,t-024h,t-030h,t-036h,t-042h,t-048h,t-054h,t-060h,t-066h,t-072h,t-078h,t-084h,t-090h,t-096h,t-102h,t-108h,t-114h,t-120h,t-126h,t-132h,t-138h,t-144h,t-150h,t-156h,t-162h,t-168h,t-174h,t-180h,t-186h,t-192h,t-198h
2018-03-22T00:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T12:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23T18:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T00:00:00,1,1,1,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T06:00:00,,15,6,6,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T12:00:00,9,,4,7,7,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24T18:00:00,,10,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-25T00:00:00,33,,53,,35,35,35,,,,,,49,,,,,,,,,,,,,,,,,,,,,
2018-03-25T06:00:00,,77,,83,,51,51,51,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-25T12:00:00,95,,51,,59,,53,53,53,,,,,,40,,,,,,,,,,,,,,,,,,,
2018-03-25T18:00:00,7,28,,29,,31,,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-26T00:00:00,,10,10,,,,37,,40,38,38,,,,,,33,,,,,,,,,,,,,,,,,
2018-03-26T06:00:00,,,11,15,,24,,37,,38,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-26T12:00:00,11,,,,16,,15,,34,,36,35,35,,,,,,24,,,,,,,,,,,,,,,
2018-03-26T18:00:00,,10,,,12,12,,18,,26,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-27T00:00:00,12,,8,,,11,7,,16,,22,,20,12,12,,,,,,16,,,,,,,,,,,,,
2018-03-27T06:00:00,13,15,,14,,,,,,12,,12,,,,,,,,,,,,,,,,,,,,,,
2018-03-27T12:00:00,14,14,14,,13,,,9,9,,,,4,,12,,,,,,,,9,,,,,,,,,,,
2018-03-27T18:00:00,,6,6,6,,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-28T00:00:00,4,,3,1,6,,6,,,7,5,,7,,7,,10,8,8,,,,,,8,,,,,,,,,
2018-03-28T06:00:00,,1,,1,2,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-28T12:00:00,0,,2,,2,2,,,,,,8,,,,,9,,11,6,6,,,,,,12,,,,,,,
2018-03-28T18:00:00,,,,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-29T00:00:00,0,,,,1,,3,,7,,7,,,,8,,9,,,,,8,8,,,,,,11,,,,,
2018-03-29T06:00:00,,,,,,2,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-29T12:00:00,1,,1,,4,,4,,3,6,12,,12,,,17,16,,17,,17,,21,18,18,,,,,,8,,,
2018-03-29T18:00:00,2,3,,3,,8,,20,,7,7,,,,,,,,,,,,,,,,,,,,,,,
2018-03-30T00:00:00,45,45,34,,34,,29,,47,,69,50,52,,52,,,45,42,,60,,60,,46,46,46,,,,,,,
2018-03-30T06:00:00,,100,83,68,,63,,80,,61,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-30T12:00:00,30,,33,33,63,,57,,73,,,,58,67,68,,68,,,64,64,,60,,,,48,55,55,,,,,
2018-03-30T18:00:00,4,4,,4,4,12,,20,,28,,32,,38,,,,,,,,,,,,,,,,,,,,
2018-03-31T00:00:00,,,,,,,1,,7,,5,,4,,12,16,25,,25,,,23,16,,17,,17,,11,8,8,,,
2018-03-31T06:00:00,0,,,,,,,0,,1,,3,,,,,,,,,,,,,,,,,,,,,,
2018-03-31T12:00:00,0,,,,,,,,,,0,,0,,0,,4,4,8,,8,,,9,8,,9,,8,,8,3,3,
2018-04-01T00:00:00,0,,,,,,,,,,,,,,,,,,3,3,6,,6,,,5,5,,3,,3,,,
2018-04-01T12:00:00,0,,,,,,,,,,,,,,,,2,,2,,4,,8,,8,,,6,6,,,,,
2018-04-01T18:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-02T00:00:00,0,,,,,,,,,3,3,,2,2,3,,2,,7,,6,,8,5,,,,,,11,11,,,
2018-04-02T12:00:00,0,,,1,1,,1,,2,2,,5,5,,5,5,8,,9,,13,,13,,17,10,12,,12,,,24,24,
2018-04-02T18:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-03T00:00:00,1,1,1,,1,,,,,,1,1,,,,,4,4,7,,8,,10,,9,,16,12,18,,18,,,55
2018-04-03T06:00:00,,0,4,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-03T12:00:00,1,,1,6,6,,,4,4,,6,,7,8,,9,9,,8,8,10,,12,,15,,16,,23,17,,,,
2018-04-03T18:00:00,3,3,,3,2,2,,6,8,8,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-04T00:00:00,,9,9,,10,12,6,,12,12,12,,10,,30,30,,30,30,,35,35,27,,24,,25,,22,,,7,,
2018-04-04T06:00:00,34,,47,32,,46,44,27,,30,25,25,,24,,,,,,,,,,,,,,,,,,,,
2018-04-04T12:00:00,1,31,,56,66,,66,57,72,,68,72,72,,72,,70,70,,62,62,,60,60,43,,31,,29,,35,,,
2018-04-04T18:00:00,1,0,5,,23,18,,18,,46,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-05T00:00:00,0,,,,,1,0,,0,4,4,,4,3,3,,6,,10,10,,13,13,,15,15,16,,30,,,,39,
2018-04-05T12:00:00,0,,,,,,,,,,,1,1,,0,0,0,,0,,0,0,,6,6,,5,5,12,,23,,31,
2018-04-06T00:00:00,0,,,,,,,,,,2,,2,6,6,,,,,,,,,,,,,,,,10,,17,
2018-04-06T12:00:00,0,,,,,,,,,1,,8,8,,8,10,19,,3,2,2,,3,,7,7,,11,11,,10,10,13,
2018-04-06T18:00:00,5,7,,2,,7,,7,7,7,6,,,,,,,,,,,,,,,,,,,,,,,
2018-04-07T00:00:00,9,8,8,,8,,8,,8,10,10,17,,25,24,,24,27,37,,12,10,10,,15,,20,16,,21,21,,,
2018-04-07T06:00:00,,47,27,27,,27,,36,,16,18,18,,,,,,,,,,,,,,,,,,,,,,
2018-04-07T12:00:00,80,,82,82,82,,81,,82,,82,82,82,82,,63,59,,59,59,59,,50,49,49,,47,,49,49,,46,46,
2018-04-07T18:00:00,,81,,84,84,84,,79,,74,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-08T00:00:00,76,,76,,37,37,32,,32,,34,,34,36,36,44,,51,48,,48,44,46,,46,47,47,,42,,30,,,
2018-04-08T06:00:00,,26,,31,,5,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-08T12:00:00,0,,0,,0,,3,3,4,,2,,4,,4,9,9,10,,15,15,,15,17,20,,24,25,25,,23,,21,
2018-04-09T00:00:00,,,7,,17,,8,,8,22,15,,29,,24,,24,22,22,22,,25,18,,18,19,27,,21,21,21,,,
2018-04-09T06:00:00,,,,66,,35,,26,,26,,45,,,,,,,,,,,,,,,,,,,,,,
2018-04-09T12:00:00,,,,,72,,52,,52,,48,45,49,,52,,52,,45,42,42,42,,46,32,,32,29,35,,27,26,26,
2018-04-09T18:00:00,,,,,,34,,45,,,,,,48,,,,,,,,,,,,,,,,,,,,
2018-04-10T00:00:00,,,,,,,10,,33,,33,,37,36,37,,37,,37,,37,37,37,35,,42,37,,37,35,65,,,
2018-04-10T06:00:00,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-10T12:00:00,30,,,,,,,,20,,30,,30,,23,23,23,,18,,14,,14,17,17,23,,29,27,,27,29,26,
2018-04-10T18:00:00,,10,,,,,,,,14,,26,,,,,,,,,,,,,,,,,,,,,,
2018-04-11T00:00:00,4,,5,,,,,,,,6,,8,,8,,6,6,11,,6,,6,,6,9,9,11,,16,13,,13,12
2018-04-11T06:00:00,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-11T12:00:00,2,,2,,3,,,,,,,,2,,4,,4,,4,2,5,,5,,5,,5,8,8,4,,,,
2018-04-12T00:00:00,0,,0,,0,,0,,,,,,,,,,3,,3,,3,,3,,,,,,,,,,,
2018-04-12T12:00:00,0,,,,,,,,,,,,,,,,1,,2,,2,,,1,4,,7,,7,,7,,,
2018-04-13T00:00:00,0,,,,,,,,,,,,,,,,,,2,,,,,,4,2,,,5,,,,,
2018-04-13T12:00:00,0,,,,,,,,,,2,,2,,,,,,,,,,,,,,5,,5,,,,,
2018-04-13T18:00:00,,,,1,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-14T00:00:00,0,,,,1,,4,,4,,2,,7,,7,,,,,,,,5,,5,,5,,9,9,4,,,
2018-04-14T06:00:00,,,,,,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-14T12:00:00,0,,1,,1,,9,,13,,10,,10,,13,,15,,,,,,,,12,,12,,13,,14,,26,
2018-04-14T18:00:00,0,3,,2,,5,,11,,14,,15,,14,,20,,,,,,,,,,18,,18,,,,,,
2018-04-15T00:00:00,,,8,,8,,8,,13,,22,,22,,24,,35,,35,,,,,,,,44,,38,,,,,
2018-04-15T06:00:00,6,,16,22,,20,,27,,23,,29,,29,,29,,,,,,,,,,,,,,,,,,
2018-04-15T12:00:00,95,89,,75,75,,75,,50,,60,,60,,85,,85,,74,,74,,,,,,,,51,,,,,
2018-04-15T18:00:00,100,100,100,,95,95,,95,,96,,91,,91,,,,,,,,,,,,,,,,,,,,
2018-04-16T00:00:00,4,15,16,16,,37,37,,37,,49,,44,,41,,39,,39,,32,,32,,,,,,,,18,,,
2018-04-16T06:00:00,,13,5,5,5,,7,7,,7,,11,,12,,13,,14,,14,,,,,,,,,,,,,,
2018-04-16T12:00:00,0,,,3,3,3,,3,3,,2,,4,,7,,11,,5,,11,,9,,6,,,,,,,,,
2018-04-16T18:00:00,0,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-17T00:00:00,0,,,,,,,1,,1,1,,0,,0,,0,,0,,0,,0,,3,,3,,,,,,,
2018-04-17T12:00:00,0,,,,,,,,,0,,0,0,,,,,,,,,,,,,,4,,2,,,,,
2018-04-18T00:00:00,0,,,,,,,,,1,1,1,,1,1,,,,,,,,,,,,,,5,,4,,,
2018-04-18T06:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-18T12:00:00,0,,,,,,,,,,,,,,,3,3,,,,,,3,,3,,3,,5,,,,,
2018-04-19T00:00:00,0,,,,,,,,3,5,5,,5,5,5,5,,6,6,,5,,4,,5,,7,,8,,,,,
2018-04-19T06:00:00,,4,,4,4,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-19T12:00:00,2,,1,,0,0,2,,,,2,6,6,,6,9,9,9,,8,8,,5,,5,,,,8,,9,,,
2018-04-19T18:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-20T00:00:00,0,,,,,,,,,,0,,0,1,1,,1,1,1,1,,4,4,,3,,3,,3,,3,,,
2018-04-20T06:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-20T12:00:00,0,,,,,,,,,,,,,,1,,,,,2,2,2,,,,,2,,2,,0,,,
2018-04-20T18:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-21T00:00:00,,,,,,,,,,,,,,,1,,2,2,2,,2,3,3,3,,,,,2,,,,,
2018-04-21T12:00:00,,,,,,,,,,,,,,,,,4,,4,4,4,,4,5,5,5,,5,5,,5,,,
2018-04-22T00:00:00,,,,,,,,,,2,2,,5,,5,5,5,,9,,11,12,12,,14,14,14,16,,12,12,,,
2018-04-22T06:00:00,,,,,,,10,10,10,5,12,12,,5,,,,,,,,,,,,,,,,,,,,
2018-04-22T12:00:00,,,,,,,,27,27,27,30,25,25,,19,,19,19,20,,12,,12,22,22,,37,37,26,41,,,,
2018-04-22T18:00:00,,,,,,,,,36,36,36,32,33,33,,28,,28,28,25,,19,,19,37,37,,,,,,,,
2018-04-23T00:00:00,,,,,,,,,,69,69,69,69,50,50,,63,,51,51,47,,50,,51,52,52,,49,49,33,,,
2018-04-23T06:00:00,,,,,,,,,,,89,89,89,74,72,72,,65,,56,56,50,,55,,62,,,,,,,,
2018-04-23T12:00:00,,,,,,,,,,,,95,95,95,79,66,66,,66,,58,58,57,,57,,57,49,49,,,,,
2018-04-24T00:00:00,,,,,,,,,,,,,,81,81,81,67,64,64,,60,,49,49,49,,47,,56,27,27,,,
2018-04-24T12:00:00,,,,,,,,,,,,,,,,56,56,56,53,47,47,,49,,46,46,,,44,,44,,,
2018-04-25T00:00:00,,,,,,,,,,,,,,,,,,25,25,25,31,28,28,,29,,27,27,35,,32,,,
2018-04-25T12:00:00,,,,,,,,,,,,,,,,,,,,18,18,18,18,20,20,,26,,26,26,33,,,
2018-04-26T00:00:00,,,,,,,,,,,,,,,,,,,,,,16,16,16,14,16,16,,12,,,,,
2018-04-26T12:00:00,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,10,10,10,,9,,,
2018-04-27T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,8,,,,,
2018-04-27T12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,7,9,,,
2018-04-28T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,11,,
2018-04-28T12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15

